"id"	"method"	"zone"	"min_weight"	"max_weight"	"price"	"notes"
1	"ems"	"first"	0	300	900	
2	"ems"	"first"	301	500	1100	
3	"ems"	"first"	501	600	1240	
4	"ems"	"first"	601	700	1380	
5	"ems"	"first"	701	800	1520	
6	"ems"	"first"	801	900	1660	
7	"ems"	"first"	901	1000	1800	
8	"ems"	"first"	1001	1250	2100	
9	"ems"	"first"	1251	1500	2400	
10	"ems"	"first"	1501	1750	2700	
11	"ems"	"first"	1751	2000	3000	
12	"ems"	"first"	2001	2500	3500	
13	"ems"	"first"	2501	3000	4000	
14	"ems"	"first"	3001	3500	4500	
15	"ems"	"first"	3501	4000	5000	
16	"ems"	"first"	4001	4500	5500	
17	"ems"	"first"	4501	5000	6000	
18	"ems"	"first"	5001	5500	6500	
19	"ems"	"first"	5501	6000	7000	
20	"ems"	"first"	6001	7000	7800	
21	"ems"	"first"	7001	8000	8600	
22	"ems"	"first"	8001	9000	9400	
23	"ems"	"first"	9001	10000	10200	
24	"ems"	"first"	10001	11000	11000	
25	"ems"	"first"	11001	12000	11800	
26	"ems"	"first"	12001	13000	12600	
27	"ems"	"first"	13001	14000	13400	
28	"ems"	"first"	14001	15000	14200	
29	"ems"	"first"	15001	16000	15000	
30	"ems"	"first"	16001	17000	15800	
31	"ems"	"first"	17001	18000	16600	
32	"ems"	"first"	18001	19000	17400	
33	"ems"	"first"	19001	20000	18200	
34	"ems"	"first"	20001	21000	19000	
35	"ems"	"first"	21001	22000	19800	
36	"ems"	"first"	22001	23000	20600	
37	"ems"	"first"	23001	24000	21400	
38	"ems"	"first"	24001	25000	22200	
39	"ems"	"first"	25001	26000	23000	
40	"ems"	"first"	26001	27000	23800	
41	"ems"	"first"	27001	28000	24600	
42	"ems"	"first"	28001	29000	25400	
43	"ems"	"first"	29001	30000	26200	
44	"ems"	"second1"	0	300	1200	
45	"ems"	"second1"	301	500	1500	
46	"ems"	"second1"	501	600	1680	
47	"ems"	"second1"	601	700	1860	
48	"ems"	"second1"	701	800	2040	
49	"ems"	"second1"	801	900	2220	
50	"ems"	"second1"	901	1000	2400	
51	"ems"	"second1"	1001	1250	2800	
52	"ems"	"second1"	1251	1500	3200	
53	"ems"	"second1"	1501	1750	3600	
54	"ems"	"second1"	1751	2000	4000	
55	"ems"	"second1"	2001	2500	4700	
56	"ems"	"second1"	2501	3000	5400	
57	"ems"	"second1"	3001	3500	6100	
58	"ems"	"second1"	3501	4000	6800	
59	"ems"	"second1"	4001	4500	7500	
60	"ems"	"second1"	4501	5000	8200	
61	"ems"	"second1"	5001	5500	8900	
62	"ems"	"second1"	5501	6000	9600	
63	"ems"	"second1"	6001	7000	10700	
64	"ems"	"second1"	7001	8000	11800	
65	"ems"	"second1"	8001	9000	12900	
66	"ems"	"second1"	9001	10000	14000	
67	"ems"	"second1"	10001	11000	15100	
68	"ems"	"second1"	11001	12000	16200	
69	"ems"	"second1"	12001	13000	17300	
70	"ems"	"second1"	13001	14000	18400	
71	"ems"	"second1"	14001	15000	19500	
72	"ems"	"second1"	15001	16000	20600	
73	"ems"	"second1"	16001	17000	21700	
74	"ems"	"second1"	17001	18000	22800	
75	"ems"	"second1"	18001	19000	23900	
76	"ems"	"second1"	19001	20000	25000	
77	"ems"	"second1"	20001	21000	26100	
78	"ems"	"second1"	21001	22000	27200	
79	"ems"	"second1"	22001	23000	28300	
80	"ems"	"second1"	23001	24000	29400	
81	"ems"	"second1"	24001	25000	30500	
82	"ems"	"second1"	25001	26000	31600	
83	"ems"	"second1"	26001	27000	32700	
84	"ems"	"second1"	27001	28000	33800	
85	"ems"	"second1"	28001	29000	34900	
86	"ems"	"second1"	29001	30000	36000	
87	"ems"	"second2"	0	300	1500	
88	"ems"	"second2"	301	500	1800	
89	"ems"	"second2"	501	600	2000	
90	"ems"	"second2"	601	700	2200	
91	"ems"	"second2"	701	800	2400	
92	"ems"	"second2"	801	900	2600	
93	"ems"	"second2"	901	1000	2800	
94	"ems"	"second2"	1001	1250	3250	
95	"ems"	"second2"	1251	1500	3700	
96	"ems"	"second2"	1501	1750	4150	
97	"ems"	"second2"	1751	2000	4600	
98	"ems"	"second2"	2001	2500	5400	
99	"ems"	"second2"	2501	3000	6200	
100	"ems"	"second2"	3001	3500	7000	
101	"ems"	"second2"	3501	4000	7800	
102	"ems"	"second2"	4001	4500	8600	
103	"ems"	"second2"	4501	5000	9400	
104	"ems"	"second2"	5001	5500	10200	
105	"ems"	"second2"	5501	6000	11000	
106	"ems"	"second2"	6001	7000	12300	
107	"ems"	"second2"	7001	8000	13600	
108	"ems"	"second2"	8001	9000	14900	
109	"ems"	"second2"	9001	10000	16200	
110	"ems"	"second2"	10001	11000	17500	
111	"ems"	"second2"	11001	12000	18800	
112	"ems"	"second2"	12001	13000	20100	
113	"ems"	"second2"	13001	14000	21400	
114	"ems"	"second2"	14001	15000	22700	
115	"ems"	"second2"	15001	16000	24000	
116	"ems"	"second2"	16001	17000	25300	
117	"ems"	"second2"	17001	18000	26600	
118	"ems"	"second2"	18001	19000	27900	
119	"ems"	"second2"	19001	20000	29200	
120	"ems"	"second2"	20001	21000	30500	
121	"ems"	"second2"	21001	22000	31800	
122	"ems"	"second2"	22001	23000	33100	
123	"ems"	"second2"	23001	24000	34400	
124	"ems"	"second2"	24001	25000	35700	
125	"ems"	"second2"	25001	26000	37000	
126	"ems"	"second2"	26001	27000	38300	
127	"ems"	"second2"	27001	28000	39600	
128	"ems"	"second2"	28001	29000	40900	
129	"ems"	"second2"	29001	30000	42200	
130	"ems"	"third"	0	300	1700	
131	"ems"	"third"	301	500	2100	
132	"ems"	"third"	501	600	2440	
133	"ems"	"third"	601	700	2780	
134	"ems"	"third"	701	800	3120	
135	"ems"	"third"	801	900	3460	
136	"ems"	"third"	901	1000	3800	
137	"ems"	"third"	1001	1250	4600	
138	"ems"	"third"	1251	1500	5400	
139	"ems"	"third"	1501	1750	6200	
140	"ems"	"third"	1751	2000	7000	
141	"ems"	"third"	2001	2500	8500	
142	"ems"	"third"	2501	3000	10000	
143	"ems"	"third"	3001	3500	11500	
144	"ems"	"third"	3501	4000	13000	
145	"ems"	"third"	4001	4500	14500	
146	"ems"	"third"	4501	5000	16000	
147	"ems"	"third"	5001	5500	17500	
148	"ems"	"third"	5501	6000	19000	
149	"ems"	"third"	6001	7000	21100	
150	"ems"	"third"	7001	8000	23200	
151	"ems"	"third"	8001	9000	25300	
152	"ems"	"third"	9001	10000	27400	
153	"ems"	"third"	10001	11000	29500	
154	"ems"	"third"	11001	12000	31600	
155	"ems"	"third"	12001	13000	33700	
156	"ems"	"third"	13001	14000	35800	
157	"ems"	"third"	14001	15000	37900	
158	"ems"	"third"	15001	16000	40000	
159	"ems"	"third"	16001	17000	42100	
160	"ems"	"third"	17001	18000	44200	
161	"ems"	"third"	18001	19000	46300	
162	"ems"	"third"	19001	20000	48400	
163	"ems"	"third"	20001	21000	50500	
164	"ems"	"third"	21001	22000	52600	
165	"ems"	"third"	22001	23000	54700	
166	"ems"	"third"	23001	24000	56800	
167	"ems"	"third"	24001	25000	58900	
168	"ems"	"third"	25001	26000	61000	
169	"ems"	"third"	26001	27000	63100	
170	"ems"	"third"	27001	28000	65200	
171	"ems"	"third"	28001	29000	67300	
172	"ems"	"third"	29001	30000	69400	
173	"sal"	"first"	0	100	160	"Small packet"
174	"sal"	"first"	101	200	240	"Small packet"
175	"sal"	"first"	201	300	320	"Small packet"
176	"sal"	"first"	301	400	400	"Small packet"
177	"sal"	"first"	401	500	480	"Small packet"
178	"sal"	"first"	501	600	560	"Small packet"
179	"sal"	"first"	601	700	640	"Small packet"
180	"sal"	"first"	701	800	720	"Small packet"
181	"sal"	"first"	801	900	800	"Small packet"
182	"sal"	"first"	901	1000	880	"Small packet"
183	"sal"	"first"	1001	1100	960	"Small packet"
184	"sal"	"first"	1101	1200	1040	"Small packet"
185	"sal"	"first"	1201	1300	1120	"Small packet"
186	"sal"	"first"	1301	1400	1200	"Small packet"
187	"sal"	"first"	1401	1500	1280	"Small packet"
188	"sal"	"first"	1501	1600	1360	"Small packet"
189	"sal"	"first"	1601	1700	1440	"Small packet"
190	"sal"	"first"	1701	1800	1520	"Small packet"
191	"sal"	"first"	1801	1900	1600	"Small packet"
192	"sal"	"first"	1901	2000	1680	"Small packet"
193	"sal"	"first"	2001	3000	3000	
194	"sal"	"first"	3001	4000	3600	
195	"sal"	"first"	4001	5000	4200	
196	"sal"	"first"	5001	6000	4700	
197	"sal"	"first"	6001	7000	5200	
198	"sal"	"first"	7001	8000	5700	
199	"sal"	"first"	8001	9000	6200	
200	"sal"	"first"	9001	10000	6700	
201	"sal"	"first"	10001	11000	7000	
202	"sal"	"first"	11001	12000	7300	
203	"sal"	"first"	12001	13000	7600	
204	"sal"	"first"	13001	14000	7900	
205	"sal"	"first"	14001	15000	8200	
206	"sal"	"first"	15001	16000	8500	
